Team,Season,home_goals,away_goals
Beerschot AC,2008/2009,1,1
Sporting Lokeren,2008/2009,0,0
RSC Anderlecht,2008/2009,0,3
RAEC Mons,2008/2009,5,0
Standard de Liège,2008/2009,1,3
Club Brugge KV,2008/2009,1,1
KV Kortrijk,2008/2009,2,2
Royal Excel Mouscron,2008/2009,1,2
Sporting Charleroi,2008/2009,1,0
KV Kortrijk,2008/2009,4,1
Sporting Charleroi,2008/2009,1,2
KAA Gent,2008/2009,0,2
RAEC Mons,2008/2009,0,0
KVC Westerlo,2008/2009,2,2
KSV Roeselare,2008/2009,1,2
KSV Cercle Brugge,2008/2009,0,1
KRC Genk,2008/2009,1,3
RSC Anderlecht,2008/2009,1,3
Sporting Lokeren,2008/2009,2,3
Royal Excel Mouscron,2008/2009,0,0
Club Brugge KV,2008/2009,2,2
SV Zulte-Waregem,2008/2009,2,0
FCV Dender EH,2008/2009,1,1
Tubize,2008/2009,1,2
KV Mechelen,2008/2009,0,0
KRC Genk,2008/2009,1,0
Standard de Liège,2008/2009,1,3
RSC Anderlecht,2008/2009,1,1
KSV Roeselare,2008/2009,1,1
Beerschot AC,2008/2009,2,2
Standard de Liège,2008/2009,1,1
KV Kortrijk,2008/2009,1,0
RAEC Mons,2008/2009,0,0
Sporting Charleroi,2008/2009,2,1
KSV Cercle Brugge,2008/2009,3,0
KAA Gent,2008/2009,3,2
KVC Westerlo,2008/2009,2,0
Royal Excel Mouscron,2008/2009,3,1
Club Brugge KV,2008/2009,1,2
Tubize,2008/2009,3,2
KV Mechelen,2008/2009,2,1
KRC Genk,2008/2009,2,3
FCV Dender EH,2008/2009,2,2
SV Zulte-Waregem,2008/2009,1,0
Sporting Lokeren,2008/2009,0,2
Beerschot AC,2008/2009,3,0
KSV Cercle Brugge,2008/2009,3,2
Sporting Charleroi,2008/2009,4,2
KSV Roeselare,2008/2009,4,0
RSC Anderlecht,2008/2009,0,2
Standard de Liège,2008/2009,0,0
Sporting Lokeren,2008/2009,2,0
KV Kortrijk,2008/2009,3,3
RAEC Mons,2008/2009,2,1
Tubize,2008/2009,5,1
SV Zulte-Waregem,2008/2009,1,2
FCV Dender EH,2008/2009,5,2
KV Mechelen,2008/2009,1,2
KAA Gent,2008/2009,3,1
Club Brugge KV,2008/2009,2,0
KVC Westerlo,2008/2009,1,0
KRC Genk,2008/2009,3,1
Royal Excel Mouscron,2008/2009,3,0
Standard de Liège,2008/2009,1,4
Sporting Charleroi,2008/2009,1,0
Royal Excel Mouscron,2008/2009,2,1
KV Kortrijk,2008/2009,1,1
Sporting Lokeren,2008/2009,1,1
Beerschot AC,2008/2009,2,1
RSC Anderlecht,2008/2009,0,3
RAEC Mons,2008/2009,2,1
KSV Cercle Brugge,2008/2009,1,2
KRC Genk,2008/2009,2,0
KAA Gent,2008/2009,2,1
SV Zulte-Waregem,2008/2009,2,2
FCV Dender EH,2008/2009,2,0
KSV Roeselare,2008/2009,4,3
KV Mechelen,2008/2009,2,2
Club Brugge KV,2008/2009,5,1
KVC Westerlo,2008/2009,0,0
Tubize,2008/2009,2,0
KRC Genk,2008/2009,4,1
SV Zulte-Waregem,2008/2009,2,1
KSV Cercle Brugge,2008/2009,1,2
KAA Gent,2008/2009,1,2
FCV Dender EH,2008/2009,3,2
KV Mechelen,2008/2009,3,0
KSV Roeselare,2008/2009,2,1
Tubize,2008/2009,1,1
KVC Westerlo,2008/2009,1,2
Club Brugge KV,2008/2009,3,1
RSC Anderlecht,2008/2009,1,2
Standard de Liège,2008/2009,0,1
RAEC Mons,2008/2009,2,0
Sporting Charleroi,2008/2009,3,1
Sporting Lokeren,2008/2009,2,1
Royal Excel Mouscron,2008/2009,2,2
KV Kortrijk,2008/2009,0,1
Beerschot AC,2008/2009,0,1
SV Zulte-Waregem,2008/2009,2,0
KAA Gent,2008/2009,2,2
KVC Westerlo,2008/2009,3,0
KRC Genk,2008/2009,3,1
KSV Roeselare,2008/2009,1,0
Tubize,2008/2009,4,1
KV Mechelen,2008/2009,3,1
KSV Cercle Brugge,2008/2009,2,1
FCV Dender EH,2008/2009,1,1
RSC Anderlecht,2008/2009,1,3
KRC Genk,2008/2009,1,2
KSV Cercle Brugge,2008/2009,1,1
KAA Gent,2008/2009,2,5
FCV Dender EH,2008/2009,0,2
KV Mechelen,2008/2009,1,1
KSV Roeselare,2008/2009,3,0
Tubize,2008/2009,3,1
KVC Westerlo,2008/2009,2,1
Club Brugge KV,2008/2009,0,2
Standard de Liège,2008/2009,0,2
RAEC Mons,2008/2009,3,2
SV Zulte-Waregem,2008/2009,1,2
Sporting Charleroi,2008/2009,2,2
Sporting Lokeren,2008/2009,1,0
KV Mechelen,2008/2009,1,5
Royal Excel Mouscron,2008/2009,2,0
Beerschot AC,2008/2009,2,2
RSC Anderlecht,2008/2009,0,1
KRC Genk,2008/2009,0,2
KSV Cercle Brugge,2008/2009,1,1
KAA Gent,2008/2009,3,3
FCV Dender EH,2008/2009,1,0
KSV Roeselare,2008/2009,2,1
KV Kortrijk,2008/2009,1,1
Tubize,2008/2009,4,0
KVC Westerlo,2008/2009,0,0
Club Brugge KV,2008/2009,1,1
Standard de Liège,2008/2009,4,2
RAEC Mons,2008/2009,3,2
SV Zulte-Waregem,2008/2009,0,6
Sporting Charleroi,2008/2009,1,1
Sporting Lokeren,2008/2009,0,0
KV Mechelen,2008/2009,1,2
Royal Excel Mouscron,2008/2009,1,1
Beerschot AC,2008/2009,1,3
RSC Anderlecht,2008/2009,1,1
KRC Genk,2008/2009,2,1
RAEC Mons,2008/2009,3,0
KSV Cercle Brugge,2008/2009,4,0
KAA Gent,2008/2009,0,1
KSV Roeselare,2008/2009,2,1
KV Kortrijk,2008/2009,3,0
Tubize,2008/2009,4,0
KVC Westerlo,2008/2009,1,1
Club Brugge KV,2008/2009,1,3
Standard de Liège,2008/2009,0,1
SV Zulte-Waregem,2008/2009,2,0
Sporting Lokeren,2008/2009,2,3
FCV Dender EH,2008/2009,4,3
KV Mechelen,2008/2009,0,1
Royal Excel Mouscron,2008/2009,2,0
Tubize,2008/2009,2,0
Beerschot AC,2008/2009,0,0
RSC Anderlecht,2008/2009,2,1
KRC Genk,2008/2009,2,0
RAEC Mons,2008/2009,2,0
Sporting Charleroi,2008/2009,0,0
KSV Cercle Brugge,2008/2009,1,0
KAA Gent,2008/2009,1,4
KSV Roeselare,2008/2009,0,0
KV Kortrijk,2008/2009,1,0
KVC Westerlo,2008/2009,1,2
Club Brugge KV,2008/2009,2,3
Standard de Liège,2008/2009,1,0
SV Zulte-Waregem,2008/2009,1,0
Sporting Lokeren,2008/2009,0,2
FCV Dender EH,2008/2009,3,1
KV Mechelen,2008/2009,1,0
Royal Excel Mouscron,2008/2009,0,1
Tubize,2008/2009,3,0
Beerschot AC,2008/2009,2,0
RSC Anderlecht,2008/2009,0,0
RAEC Mons,2008/2009,3,2
Sporting Charleroi,2008/2009,2,1
KSV Cercle Brugge,2008/2009,3,1
KAA Gent,2008/2009,1,1
KSV Roeselare,2008/2009,0,1
KV Kortrijk,2008/2009,1,1
KVC Westerlo,2008/2009,1,4
Beerschot AC,2008/2009,3,1
Club Brugge KV,2008/2009,1,0
KRC Genk,2008/2009,1,0
SV Zulte-Waregem,2008/2009,1,2
Sporting Lokeren,2008/2009,1,0
FCV Dender EH,2008/2009,1,2
KV Mechelen,2008/2009,0,1
Royal Excel Mouscron,2008/2009,1,0
Tubize,2008/2009,4,1
KVC Westerlo,2008/2009,2,0
KV Kortrijk,2008/2009,4,0
Sporting Lokeren,2008/2009,1,0
RAEC Mons,2008/2009,2,1
Sporting Charleroi,2008/2009,2,0
Royal Excel Mouscron,2008/2009,1,2
SV Zulte-Waregem,2008/2009,0,2
Standard de Liège,2008/2009,1,1
Club Brugge KV,2008/2009,1,4
Beerschot AC,2008/2009,1,0
RSC Anderlecht,2008/2009,0,1
Standard de Liège,2008/2009,0,3
RAEC Mons,2008/2009,3,2
Sporting Charleroi,2008/2009,3,1
KSV Cercle Brugge,2008/2009,0,1
KAA Gent,2008/2009,2,2
KSV Roeselare,2008/2009,3,1
KV Kortrijk,2008/2009,5,1
Beerschot AC,2008/2009,1,0
Club Brugge KV,2008/2009,2,0
KRC Genk,2008/2009,1,2
SV Zulte-Waregem,2008/2009,1,0
KAA Gent,2008/2009,1,3
FCV Dender EH,2008/2009,4,0
KV Mechelen,2008/2009,4,1
Royal Excel Mouscron,2008/2009,3,0
Tubize,2008/2009,2,2
KVC Westerlo,2008/2009,0,2
RSC Anderlecht,2008/2009,1,1
Standard de Liège,2008/2009,0,0
RAEC Mons,2008/2009,0,0
Sporting Charleroi,2008/2009,2,1
KSV Cercle Brugge,2008/2009,2,1
Sporting Lokeren,2008/2009,2,3
KSV Roeselare,2008/2009,1,0
KV Kortrijk,2008/2009,0,1
Beerschot AC,2008/2009,3,1
Club Brugge KV,2008/2009,2,0
KRC Genk,2008/2009,3,0
SV Zulte-Waregem,2008/2009,0,2
KAA Gent,2008/2009,0,2
FCV Dender EH,2008/2009,0,2
KV Mechelen,2008/2009,3,1
KSV Roeselare,2008/2009,3,1
Tubize,2008/2009,1,1
KVC Westerlo,2008/2009,2,1
RSC Anderlecht,2008/2009,0,2
Standard de Liège,2008/2009,0,1
RAEC Mons,2008/2009,3,0
Sporting Charleroi,2008/2009,1,2
KSV Cercle Brugge,2008/2009,1,2
Sporting Lokeren,2008/2009,3,0
Royal Excel Mouscron,2008/2009,4,1
KV Kortrijk,2008/2009,1,3
Beerschot AC,2008/2009,1,0
FCV Dender EH,2008/2009,1,1
KV Kortrijk,2008/2009,2,0
RSC Anderlecht,2008/2009,1,2
KRC Genk,2008/2009,1,3
KSV Cercle Brugge,2008/2009,3,2
KVC Westerlo,2008/2009,1,1
Tubize,2008/2009,0,0
KAA Gent,2008/2009,4,2
KSV Roeselare,2008/2009,3,0
Sporting Charleroi,2008/2009,2,0
Club Brugge KV,2008/2009,0,1
Beerschot AC,2008/2009,1,0
KV Mechelen,2008/2009,1,2
SV Zulte-Waregem,2008/2009,2,0
Sporting Lokeren,2008/2009,0,1
RAEC Mons,2008/2009,1,0
Standard de Liège,2008/2009,0,1
Royal Excel Mouscron,2008/2009,0,0
KVC Westerlo,2008/2009,2,0
RSC Anderlecht,2008/2009,2,1
KSV Roeselare,2008/2009,2,0
Tubize,2008/2009,1,0
KV Kortrijk,2008/2009,1,2
KSV Cercle Brugge,2008/2009,1,1
FCV Dender EH,2008/2009,4,1
KRC Genk,2008/2009,1,2
KAA Gent,2008/2009,2,2
Royal Excel Mouscron,2008/2009,2,1
KV Mechelen,2008/2009,2,1
Sporting Charleroi,2008/2009,1,1
Standard de Liège,2008/2009,4,1
Sporting Lokeren,2008/2009,1,1
Club Brugge KV,2008/2009,0,1
Beerschot AC,2008/2009,0,0
FCV Dender EH,2008/2009,2,1
SV Zulte-Waregem,2008/2009,3,2
KSV Cercle Brugge,2008/2009,3,1
RAEC Mons,2008/2009,2,1
RSC Anderlecht,2008/2009,4,0
KV Kortrijk,2008/2009,2,0
KRC Genk,2008/2009,2,4
KVC Westerlo,2008/2009,1,3
KSV Roeselare,2008/2009,2,0
KAA Gent,2008/2009,0,1
Sporting Charleroi,2008/2009,1,2
KV Mechelen,2008/2009,7,1
Standard de Liège,2008/2009,0,0
Beerschot AC,2008/2009,0,0
Sporting Lokeren,2008/2009,1,1
FCV Dender EH,2008/2009,1,2
Club Brugge KV,2008/2009,3,0
SV Zulte-Waregem,2008/2009,0,3
Royal Excel Mouscron,2008/2009,2,2
Tubize,2008/2009,4,1
Sint-Truidense VV,2009/2010,2,2
Club Brugge KV,2009/2010,1,2
KAA Gent,2009/2010,1,3
SV Zulte-Waregem,2009/2010,1,1
RSC Anderlecht,2009/2010,0,2
KVC Westerlo,2009/2010,4,1
Beerschot AC,2009/2010,1,1
RSC Anderlecht,2009/2010,4,2
KRC Genk,2009/2010,1,0
SV Zulte-Waregem,2009/2010,1,2
KV Kortrijk,2009/2010,3,3
Sporting Lokeren,2009/2010,2,0
KSV Cercle Brugge,2009/2010,3,2
KVC Westerlo,2009/2010,3,1
KAA Gent,2009/2010,1,0
Sporting Charleroi,2009/2010,2,0
KV Mechelen,2009/2010,1,2
Beerschot AC,2009/2010,4,0
KSV Cercle Brugge,2009/2010,1,1
KSV Roeselare,2009/2010,2,0
Standard de Liège,2009/2010,2,0
SV Zulte-Waregem,2009/2010,1,1
KAA Gent,2009/2010,1,2
KVC Westerlo,2009/2010,1,1
KV Kortrijk,2009/2010,1,1
KRC Genk,2009/2010,0,2
RSC Anderlecht,2009/2010,0,2
Club Brugge KV,2009/2010,2,3
Sint-Truidense VV,2009/2010,1,0
Sporting Lokeren,2009/2010,2,0
KSV Cercle Brugge,2009/2010,2,0
Sporting Charleroi,2009/2010,2,2
Beerschot AC,2009/2010,0,1
KV Mechelen,2009/2010,2,0
KSV Roeselare,2009/2010,2,2
Club Brugge KV,2009/2010,3,1
RSC Anderlecht,2009/2010,0,2
KAA Gent,2009/2010,0,2
KVC Westerlo,2009/2010,2,1
KV Kortrijk,2009/2010,0,0
SV Zulte-Waregem,2009/2010,2,0
Sint-Truidense VV,2009/2010,4,1
Beerschot AC,2009/2010,1,2
KSV Roeselare,2009/2010,3,1
KSV Cercle Brugge,2009/2010,1,1
KV Mechelen,2009/2010,4,1
Standard de Liège,2009/2010,2,1
KRC Genk,2009/2010,2,1
Sporting Lokeren,2009/2010,1,0
Sporting Charleroi,2009/2010,1,0
KV Kortrijk,2009/2010,1,0
Standard de Liège,2009/2010,2,0
Sporting Lokeren,2009/2010,1,0
KSV Cercle Brugge,2009/2010,3,1
KV Mechelen,2009/2010,2,0
KSV Roeselare,2009/2010,3,0
Beerschot AC,2009/2010,2,2
KVC Westerlo,2009/2010,0,0
Sint-Truidense VV,2009/2010,0,0
RSC Anderlecht,2009/2010,1,3
Club Brugge KV,2009/2010,0,1
SV Zulte-Waregem,2009/2010,1,0
KAA Gent,2009/2010,2,5
KV Mechelen,2009/2010,1,1
KSV Roeselare,2009/2010,0,1
KV Kortrijk,2009/2010,0,2
KSV Cercle Brugge,2009/2010,1,0
KRC Genk,2009/2010,2,1
RSC Anderlecht,2009/2010,0,2
Sporting Charleroi,2009/2010,0,0
Club Brugge KV,2009/2010,3,2
SV Zulte-Waregem,2009/2010,2,2
Standard de Liège,2009/2010,2,3
KAA Gent,2009/2010,0,1
KVC Westerlo,2009/2010,1,1
Beerschot AC,2009/2010,1,0
Sint-Truidense VV,2009/2010,1,2
Sporting Lokeren,2009/2010,2,0
KSV Cercle Brugge,2009/2010,3,2
Sporting Charleroi,2009/2010,0,0
KRC Genk,2009/2010,2,2
KV Mechelen,2009/2010,2,1
KV Kortrijk,2009/2010,1,1
Standard de Liège,2009/2010,1,1
KSV Cercle Brugge,2009/2010,2,1
Sporting Lokeren,2009/2010,2,0
KV Mechelen,2009/2010,5,2
KVC Westerlo,2009/2010,1,0
KSV Roeselare,2009/2010,3,0
RSC Anderlecht,2009/2010,2,2
KRC Genk,2009/2010,1,0
SV Zulte-Waregem,2009/2010,2,1
Sint-Truidense VV,2009/2010,0,0
Standard de Liège,2009/2010,2,0
Beerschot AC,2009/2010,2,0
Club Brugge KV,2009/2010,1,4
Sporting Charleroi,2009/2010,1,0
KAA Gent,2009/2010,0,4
KVC Westerlo,2009/2010,2,1
RSC Anderlecht,2009/2010,0,4
Sporting Lokeren,2009/2010,2,1
KRC Genk,2009/2010,1,3
KV Kortrijk,2009/2010,2,2
KV Mechelen,2009/2010,1,2
KSV Cercle Brugge,2009/2010,1,4
Club Brugge KV,2009/2010,2,0
Sint-Truidense VV,2009/2010,2,0
Sporting Charleroi,2009/2010,1,0
KSV Roeselare,2009/2010,1,4
Beerschot AC,2009/2010,3,0
Standard de Liège,2009/2010,0,0
KAA Gent,2009/2010,0,0
KV Kortrijk,2009/2010,3,1
KVC Westerlo,2009/2010,0,1
Sporting Lokeren,2009/2010,4,1
SV Zulte-Waregem,2009/2010,0,2
KSV Cercle Brugge,2009/2010,1,2
KRC Genk,2009/2010,1,1
RSC Anderlecht,2009/2010,0,5
Sint-Truidense VV,2009/2010,1,2
Standard de Liège,2009/2010,1,0
Club Brugge KV,2009/2010,1,1
KSV Roeselare,2009/2010,2,0
KV Mechelen,2009/2010,2,1
Sporting Charleroi,2009/2010,2,1
Beerschot AC,2009/2010,1,1
KVC Westerlo,2009/2010,1,0
RSC Anderlecht,2009/2010,0,2
Sporting Lokeren,2009/2010,4,0
Club Brugge KV,2009/2010,1,1
KRC Genk,2009/2010,2,1
KV Kortrijk,2009/2010,0,2
SV Zulte-Waregem,2009/2010,1,1
Standard de Liège,2009/2010,2,1
KV Mechelen,2009/2010,2,0
Sporting Lokeren,2009/2010,3,1
KSV Roeselare,2009/2010,1,1
Sint-Truidense VV,2009/2010,0,1
KSV Cercle Brugge,2009/2010,3,1
Sporting Charleroi,2009/2010,4,0
Club Brugge KV,2009/2010,1,1
SV Zulte-Waregem,2009/2010,0,0
KRC Genk,2009/2010,1,0
KVC Westerlo,2009/2010,1,0
KV Kortrijk,2009/2010,1,1
RSC Anderlecht,2009/2010,1,2
KAA Gent,2009/2010,1,1
KSV Roeselare,2009/2010,1,0
KRC Genk,2009/2010,2,0
Beerschot AC,2009/2010,2,0
Standard de Liège,2009/2010,1,1
Sporting Charleroi,2009/2010,2,1
Sporting Lokeren,2009/2010,3,1
KSV Cercle Brugge,2009/2010,2,1
KVC Westerlo,2009/2010,3,0
KAA Gent,2009/2010,1,1
Beerschot AC,2009/2010,1,0
SV Zulte-Waregem,2009/2010,2,2
Sint-Truidense VV,2009/2010,1,2
Club Brugge KV,2009/2010,2,1
Standard de Liège,2009/2010,1,5
KAA Gent,2009/2010,0,2
KV Kortrijk,2009/2010,1,1
Sint-Truidense VV,2009/2010,3,1
RSC Anderlecht,2009/2010,0,4
SV Zulte-Waregem,2009/2010,2,1
KVC Westerlo,2009/2010,0,0
Club Brugge KV,2009/2010,1,4
KV Kortrijk,2009/2010,2,2
Sporting Charleroi,2009/2010,1,1
KSV Roeselare,2009/2010,2,1
RSC Anderlecht,2009/2010,0,2
Sporting Lokeren,2009/2010,4,1
KRC Genk,2009/2010,0,1
KV Mechelen,2009/2010,1,3
Standard de Liège,2009/2010,1,1
Beerschot AC,2009/2010,1,1
Club Brugge KV,2009/2010,2,3
KAA Gent,2009/2010,1,0
Sint-Truidense VV,2009/2010,0,2
Sporting Charleroi,2009/2010,1,3
SV Zulte-Waregem,2009/2010,1,2
KRC Genk,2009/2010,1,1
KV Mechelen,2009/2010,3,0
RSC Anderlecht,2009/2010,2,1
KV Kortrijk,2009/2010,0,2
KSV Cercle Brugge,2009/2010,0,4
KSV Roeselare,2009/2010,5,1
Sporting Lokeren,2009/2010,2,1
KAA Gent,2009/2010,1,1
Sporting Charleroi,2009/2010,1,2
Beerschot AC,2009/2010,1,2
Standard de Liège,2009/2010,1,3
Sint-Truidense VV,2009/2010,0,1
KSV Roeselare,2009/2010,3,2
Club Brugge KV,2009/2010,1,4
SV Zulte-Waregem,2009/2010,3,1
KSV Cercle Brugge,2009/2010,1,1
KRC Genk,2009/2010,2,4
KV Mechelen,2009/2010,1,2
KVC Westerlo,2009/2010,1,2
Sporting Lokeren,2009/2010,1,2
KV Kortrijk,2009/2010,1,0
Beerschot AC,2009/2010,1,0
KSV Roeselare,2009/2010,1,1
KAA Gent,2009/2010,3,1
KV Mechelen,2009/2010,1,0
Sporting Charleroi,2009/2010,4,1
Standard de Liège,2009/2010,0,2
Sint-Truidense VV,2009/2010,2,0
Lierse SK,2010/2011,1,0
Club Brugge KV,2010/2011,1,0
Sporting Lokeren,2010/2011,2,0
KAA Gent,2010/2011,0,1
KAS Eupen,2010/2011,4,1
SV Zulte-Waregem,2010/2011,1,1
Sporting Charleroi,2010/2011,1,1
Beerschot AC,2010/2011,2,1
KAA Gent,2010/2011,3,2
RSC Anderlecht,2010/2011,5,1
KVC Westerlo,2010/2011,1,2
Sporting Charleroi,2010/2011,1,1
Beerschot AC,2010/2011,1,0
KAS Eupen,2010/2011,3,1
KRC Genk,2010/2011,2,2
KSV Cercle Brugge,2010/2011,0,1
KV Kortrijk,2010/2011,2,0
Standard de Liège,2010/2011,4,2
Lierse SK,2010/2011,1,1
Club Brugge KV,2010/2011,2,3
Sporting Lokeren,2010/2011,1,2
Sint-Truidense VV,2010/2011,6,0
KV Mechelen,2010/2011,1,1
RSC Anderlecht,2010/2011,1,0
KVC Westerlo,2010/2011,2,0
KAA Gent,2010/2011,2,1
Sporting Charleroi,2010/2011,3,2
Club Brugge KV,2010/2011,1,0
KRC Genk,2010/2011,1,0
Beerschot AC,2010/2011,5,1
SV Zulte-Waregem,2010/2011,0,0
KAS Eupen,2010/2011,2,1
Standard de Liège,2010/2011,2,2
KV Mechelen,2010/2011,3,1
RSC Anderlecht,2010/2011,1,2
Sint-Truidense VV,2010/2011,0,0
Sporting Lokeren,2010/2011,1,1
KV Kortrijk,2010/2011,0,0
Lierse SK,2010/2011,2,2
KSV Cercle Brugge,2010/2011,2,1
Club Brugge KV,2010/2011,2,2
KAS Eupen,2010/2011,1,3
SV Zulte-Waregem,2010/2011,0,3
Beerschot AC,2010/2011,4,0
Sporting Charleroi,2010/2011,2,0
Sporting Lokeren,2010/2011,2,2
KRC Genk,2010/2011,1,1
KAA Gent,2010/2011,0,1
Lierse SK,2010/2011,2,0
RSC Anderlecht,2010/2011,1,2
KSV Cercle Brugge,2010/2011,3,0
Standard de Liège,2010/2011,0,1
KV Kortrijk,2010/2011,1,1
KVC Westerlo,2010/2011,0,1
Sint-Truidense VV,2010/2011,3,0
KV Mechelen,2010/2011,0,1
KSV Cercle Brugge,2010/2011,0,1
KVC Westerlo,2010/2011,4,4
RSC Anderlecht,2010/2011,0,1
Standard de Liège,2010/2011,2,0
KRC Genk,2010/2011,1,3
KV Mechelen,2010/2011,3,1
Sint-Truidense VV,2010/2011,1,2
KV Kortrijk,2010/2011,3,1
Sporting Charleroi,2010/2011,4,1
Lierse SK,2010/2011,7,0
KAA Gent,2010/2011,1,2
Club Brugge KV,2010/2011,2,1
Sporting Lokeren,2010/2011,0,0
SV Zulte-Waregem,2010/2011,0,0
KAS Eupen,2010/2011,1,1
Beerschot AC,2010/2011,1,1
KVC Westerlo,2010/2011,4,3
KRC Genk,2010/2011,0,1
KV Kortrijk,2010/2011,1,0
RSC Anderlecht,2010/2011,1,2
KSV Cercle Brugge,2010/2011,0,3
Standard de Liège,2010/2011,2,1
KV Mechelen,2010/2011,2,1
KAA Gent,2010/2011,0,3
Sporting Lokeren,2010/2011,0,0
Sint-Truidense VV,2010/2011,1,0
Sporting Charleroi,2010/2011,2,1
KAS Eupen,2010/2011,5,1
Lierse SK,2010/2011,3,1
Club Brugge KV,2010/2011,0,1
Beerschot AC,2010/2011,1,1
SV Zulte-Waregem,2010/2011,1,3
Sint-Truidense VV,2010/2011,4,1
KRC Genk,2010/2011,0,4
KSV Cercle Brugge,2010/2011,0,0
KV Mechelen,2010/2011,1,2
RSC Anderlecht,2010/2011,0,0
KV Kortrijk,2010/2011,1,1
Standard de Liège,2010/2011,1,4
KVC Westerlo,2010/2011,0,1
RSC Anderlecht,2010/2011,0,2
KAA Gent,2010/2011,2,2
KV Mechelen,2010/2011,0,1
KVC Westerlo,2010/2011,2,0
KSV Cercle Brugge,2010/2011,2,1
Standard de Liège,2010/2011,2,1
KRC Genk,2010/2011,1,1
Sporting Charleroi,2010/2011,1,0
Lierse SK,2010/2011,6,0
Club Brugge KV,2010/2011,0,2
Sint-Truidense VV,2010/2011,1,1
Beerschot AC,2010/2011,2,0
KV Kortrijk,2010/2011,1,0
SV Zulte-Waregem,2010/2011,0,2
Sporting Lokeren,2010/2011,1,2
Standard de Liège,2010/2011,1,0
Sporting Charleroi,2010/2011,5,0
KV Mechelen,2010/2011,3,0
KAS Eupen,2010/2011,0,0
KSV Cercle Brugge,2010/2011,0,3
KAA Gent,2010/2011,2,2
KRC Genk,2010/2011,2,2
RSC Anderlecht,2010/2011,0,2
KVC Westerlo,2010/2011,2,1
Standard de Liège,2010/2011,2,0
Sporting Lokeren,2010/2011,2,1
KV Kortrijk,2010/2011,3,2
SV Zulte-Waregem,2010/2011,3,0
KV Mechelen,2010/2011,0,0
Club Brugge KV,2010/2011,1,4
Sint-Truidense VV,2010/2011,3,0
Lierse SK,2010/2011,3,0
Beerschot AC,2010/2011,1,0
KVC Westerlo,2010/2011,2,1
KAA Gent,2010/2011,1,1
KRC Genk,2010/2011,0,1
KAS Eupen,2010/2011,0,2
KSV Cercle Brugge,2010/2011,2,1
RSC Anderlecht,2010/2011,0,0
Sporting Charleroi,2010/2011,1,0
Sint-Truidense VV,2010/2011,2,0
Lierse SK,2010/2011,4,1
Club Brugge KV,2010/2011,1,0
Sporting Lokeren,2010/2011,1,1
SV Zulte-Waregem,2010/2011,2,0
Standard de Liège,2010/2011,0,1
KV Kortrijk,2010/2011,2,1
KV Mechelen,2010/2011,0,1
SV Zulte-Waregem,2010/2011,2,0
KSV Cercle Brugge,2010/2011,1,0
KRC Genk,2010/2011,0,2
KAS Eupen,2010/2011,1,1
Sporting Charleroi,2010/2011,1,1
KAA Gent,2010/2011,0,1
KVC Westerlo,2010/2011,3,1
Beerschot AC,2010/2011,2,2
Sporting Lokeren,2010/2011,2,1
Standard de Liège,2010/2011,4,1
KV Mechelen,2010/2011,1,0
KV Kortrijk,2010/2011,3,1
Lierse SK,2010/2011,1,1
Sint-Truidense VV,2010/2011,1,0
KSV Cercle Brugge,2010/2011,0,0
RSC Anderlecht,2010/2011,2,0
KRC Genk,2010/2011,1,1
Club Brugge KV,2010/2011,2,2
Beerschot AC,2010/2011,1,0
SV Zulte-Waregem,2010/2011,2,1
Sporting Charleroi,2010/2011,3,0
KAA Gent,2010/2011,1,1
KAS Eupen,2010/2011,1,1
KVC Westerlo,2010/2011,0,1
KV Kortrijk,2010/2011,4,1
KSV Cercle Brugge,2010/2011,1,0
KVC Westerlo,2010/2011,0,2
KV Mechelen,2010/2011,1,1
Sint-Truidense VV,2010/2011,1,2
Standard de Liège,2010/2011,0,2
Lierse SK,2010/2011,1,1
RSC Anderlecht,2010/2011,1,1
Beerschot AC,2010/2011,4,0
Sporting Lokeren,2010/2011,3,3
KAS Eupen,2010/2011,2,1
Sporting Charleroi,2010/2011,5,0
Sint-Truidense VV,2010/2011,2,0
Lierse SK,2010/2011,1,0
SV Zulte-Waregem,2010/2011,1,1
Club Brugge KV,2010/2011,3,1
KAA Gent,2010/2011,3,2
Beerschot AC,2010/2011,1,0
Sporting Lokeren,2010/2011,0,2
SV Zulte-Waregem,2010/2011,2,2
KAS Eupen,2010/2011,2,0
Club Brugge KV,2010/2011,0,0
Sporting Charleroi,2010/2011,2,2
KRC Genk,2010/2011,0,1
KV Mechelen,2010/2011,1,2
KVC Westerlo,2010/2011,0,0
Standard de Liège,2010/2011,1,0
KSV Cercle Brugge,2010/2011,4,0
KAA Gent,2010/2011,1,3
RSC Anderlecht,2010/2011,0,3
KV Kortrijk,2010/2011,1,2
KRC Genk,2010/2011,1,4
SV Zulte-Waregem,2010/2011,0,0
KV Kortrijk,2010/2011,1,0
Beerschot AC,2010/2011,1,0
Lierse SK,2010/2011,4,1
KAS Eupen,2010/2011,2,0
Sint-Truidense VV,2010/2011,0,0
Club Brugge KV,2010/2011,1,2
Sporting Lokeren,2010/2011,1,1
KRC Genk,2010/2011,2,2
KSV Cercle Brugge,2010/2011,2,0
Sporting Charleroi,2010/2011,1,0
RSC Anderlecht,2010/2011,0,2
KAS Eupen,2010/2011,0,0
KVC Westerlo,2010/2011,3,1
KV Mechelen,2010/2011,1,0
KAA Gent,2010/2011,2,2
